field,required,params
data,1,
sampling,1,irregular
sampling_time,1,column 1
sampling_time_unit,1,second
depid,1,
creation_date,1,
history,0,
name,1,Lunges
type,1,PCA
column_names,1,time
full_name,1,Lunges
description,1,"Lunges inferred from animal movement (speed, pitch, roll). Lunge time refers mouth opening time (peak in speed before deceleration)."
unit,1,s
unit_name,1,seconds
unit_label,1,seconds
